mode,run_index,elapsed_seconds,exit_code
cached,1,4.587550290991203,-9
cached,2,4.409245542003191,-9
cached,3,4.575498584003071,-9
cached,4,4.58332008299476,-9
cached,5,4.886245625006268,-9
cached,6,4.401394749991596,-9
cached,7,4.615584917002707,-9
cached,8,4.5337991249980405,-9
cached,9,4.679553458990995,-9
cached,10,4.415686708001886,-9
cold,1,4.583704291013419,-9
cold,2,4.524164000002202,-9
cold,3,4.626496665994637,-9
cold,4,4.61002966700471,-9
cold,5,4.58504137500131,-9
cold,6,4.690297791996272,-9
cold,7,4.6260512079898035,-9
cold,8,4.551485916003003,-9
cold,9,4.732635249994928,-9
cold,10,4.737978999997722,-9
